point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
1,0.8222565618428597,0.51,0.563649374734242,0.484349783817803,0.5162451312368572,0,0,0.0,0.0
2,0.8115795335723708,0.51,0.4710189232027744,0.44694699851281305,0.5160315906714474,0,0,0.0,0.0
3,0.8198254783923049,0.5166666666666666,0.5103310916664443,0.46139477901848325,0.5267719603908545,0,0,0.0,0.0
4,0.8263825502580594,0.5233333333333333,0.5643796821282107,0.48699314193856214,0.5374756301231539,0,0,0.0,0.0
5,0.8304512910243895,0.5366666666666666,0.6003611888035577,0.4952276108606618,0.5582108724528996,0,0,0.0,0.0
6,0.8317983947510964,0.5033333333333334,0.6280866331539503,0.49185355825266464,0.5055231004094519,0,0,1.0,0.0
7,0.8416085129377601,0.5700000000000001,0.6099844959415619,0.5045162704625177,0.6080251918112864,0,0,1.0,0.0
8,0.8334939196495522,0.5433333333333333,0.6472549240291247,0.5037601736545039,0.5684805841474057,0,0,1.0,0.0
9,0.8462335651136197,0.51,0.6524511867074492,0.5153047856405684,0.5167246713022724,0,0,1.0,0.0
10,0.8654350067622859,0.6,0.6548666560226347,0.5289258745317331,0.6530870013524571,0,0,1.0,0.0
11,0.8537110116939415,0.5566666666666666,0.6954784002416641,0.5269070765263144,0.5903316924364245,0,0,1.0,0.0
12,0.818960514015621,0.53,0.6222269436559202,0.462501245839924,0.5473376308409372,0,0,1.0,1.0
13,0.8240600407035084,0.5133333333333333,0.648822657564466,0.4777601287772798,0.5216193788632046,0,0,1.0,1.0
14,0.8162650338368336,0.5,0.5787928891334064,0.4800394046393016,0.5,0,0,1.0,1.0
15,0.7993877319546046,0.44333333333333336,0.48347625584538845,0.4420136115750346,0.4836861651770774,0,0,1.0,1.0
16,0.8130626657670815,0.5066666666666666,0.5251733214145109,0.46139810496888856,0.5107519466546722,0,0,1.0,1.0
17,0.7863278706946742,0.42333333333333334,0.4257410960270228,0.4220286181059427,0.478992495728739,0,0,1.0,1.0
18,0.724264742910141,0.37,0.32272412463431355,0.3312618152698604,0.46210883315663664,0,0,1.0,2.0
19,0.7407436520227593,0.35,0.29290420306021403,0.42282667726912226,0.4672230956068278,0,0,1.0,2.0
20,0.7647451422855001,0.42333333333333334,0.31052394349424106,0.37291724367787105,0.47568314403933226,0,0,1.0,2.0
21,0.7933276045279981,0.43999999999999995,0.32225438835555864,0.4148410080671342,0.48239931254335977,0,0,1.0,2.0
22,0.780767086882136,0.4066666666666666,0.3566482144962828,0.4345254507709584,0.4764987451068876,0,0,1.0,2.0
